symbol,price_change_pct,volume_change_pct,volatility_score,rsi,moving_average_gap,target_up
RELIANCE,3.78,17.37,1.3,48.56,-0.14,1
TCS,-3.98,-17.85,3.32,45.22,-2.75,0
INFY,3.48,15.53,1.49,52.42,-2.77,1
HDFCBANK,-0.87,19.2,2.75,58.48,-0.4,0
ICICIBANK,-1.75,1.31,3.32,59.31,-2.16,0
SBIN,-0.85,13.62,1.66,77.58,-1.22,0
LT,2.53,1.82,1.82,53.69,2.11,1
ITC,0.44,-1.32,2.91,25.58,2.79,1
AXISBANK,3.66,-4.75,0.84,35.73,0.91,1
BHARTIARTL,3.41,-18.18,0.7,67.03,-1.36,1
RELIANCE,2.4,-11.68,1.71,40.76,1.67,1
TCS,-1.23,-17.56,1.14,45.43,0.03,0
INFY,2.4,-15.49,0.85,62.23,0.21,1
HDFCBANK,0.69,5.09,2.07,57.28,-2.12,1
ICICIBANK,-3.51,20.8,1.36,51.99,1.74,1
SBIN,-0.18,-17.84,3.34,73.33,2.41,1
LT,3.62,24.73,2.53,30.78,1.04,1
ITC,3.3,4.42,2.78,44.87,3.03,1
AXISBANK,3.52,-2.97,1.48,67.32,-1.22,1
BHARTIARTL,-1.19,-11.76,2.17,30.67,3.06,1
RELIANCE,3.75,11.05,1.4,35.38,1.94,1
TCS,-1.49,17.75,2.86,37.88,1.68,1
INFY,-3.15,3.29,3.11,32.91,0.44,0
HDFCBANK,0.81,15.25,1.69,25.54,-0.13,1
ICICIBANK,0.75,2.56,3.26,44.0,-1.55,1
SBIN,3.51,0.75,3.0,58.33,-1.17,1
LT,4.31,21.96,2.38,29.98,-2.55,1
ITC,-3.32,16.38,3.37,50.41,0.34,0
AXISBANK,1.71,-17.69,0.77,61.16,-1.85,1
BHARTIARTL,-4.01,18.74,1.51,59.25,-0.45,0
RELIANCE,1.95,13.17,2.2,69.44,1.47,1
TCS,0.58,-19.14,2.2,65.62,-2.1,1
INFY,-1.6,2.99,0.53,39.68,-0.2,0
HDFCBANK,0.26,6.53,2.83,53.79,2.34,1
ICICIBANK,2.15,14.7,1.04,53.18,2.3,1
SBIN,0.64,15.6,1.43,57.96,3.05,1
LT,3.74,-4.11,1.08,60.67,2.18,1
ITC,0.56,-14.12,2.34,26.41,-1.07,1
AXISBANK,3.96,-8.52,2.49,44.27,-1.27,1
BHARTIARTL,2.19,18.73,2.72,67.34,2.82,1
RELIANCE,-2.03,0.4,1.51,34.46,0.92,0
TCS,4.07,0.96,2.64,41.78,-2.64,1
INFY,3.53,-2.51,1.33,56.76,3.16,1
HDFCBANK,0.34,-11.78,2.11,64.74,2.01,1
ICICIBANK,-0.74,-13.5,2.54,56.9,-2.53,0
SBIN,2.58,5.02,1.66,60.29,2.36,1
LT,-4.02,0.82,1.62,74.88,-0.96,0
ITC,-2.35,-13.68,0.91,65.77,-2.46,0
AXISBANK,-0.02,24.21,2.65,31.84,-2.09,0
BHARTIARTL,3.65,9.53,2.78,63.01,-0.67,1
RELIANCE,-0.92,3.57,1.2,39.94,3.19,1
TCS,3.09,-6.54,2.06,62.25,-1.21,1
INFY,-1.65,-12.43,2.77,26.6,-3.05,0
HDFCBANK,-0.42,9.79,1.14,34.19,-3.18,0
ICICIBANK,3.35,-9.84,2.6,41.95,-2.01,1
SBIN,3.53,-2.41,1.67,36.06,-0.55,1
LT,-3.47,13.08,1.68,40.37,-2.15,0
ITC,-1.91,-12.33,0.87,65.1,2.7,1
AXISBANK,0.71,-18.5,1.51,49.0,-2.1,1
BHARTIARTL,1.98,14.81,1.75,65.42,-1.65,1
RELIANCE,-0.09,-7.76,1.97,41.09,1.3,1
TCS,-1.47,-14.96,2.76,48.6,1.65,1
INFY,-0.61,16.06,2.37,73.14,-2.27,0
HDFCBANK,3.43,-10.64,1.17,40.42,-2.78,1
